fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
margin,top30,13,20,47,1.043795,78.21,4.590380,29.443706,1425.654665,558.920902
margin,top30,13,20,48,1.030235,78.29,4.583688,29.413941,1425.391584,559.143125
margin,top30,13,20,49,1.028451,78.18,4.583771,29.442745,1425.426360,559.914993
margin,top30,13,20,50,1.000067,78.21,4.583355,29.418892,1425.213089,559.327597
margin,top30,13,20,51,1.010636,78.14,4.585550,29.383884,1424.625760,559.414345
margin,top30,13,20,52,0.995306,78.09,4.583062,29.373176,1424.330371,559.241765
margin,top30,13,20,53,0.983589,78.11,4.594806,29.320036,1423.422646,558.861989
margin,top30,13,20,54,0.982604,78.16,4.587316,29.283391,1423.677919,558.539814
margin,top30,13,20,55,0.968212,78.12,4.605033,29.314524,1423.667801,557.967914
margin,top30,13,20,56,0.957302,78.04,4.606487,29.340507,1423.399757,557.925810
margin,top30,13,20,57,0.954143,78.14,4.603834,29.378883,1423.298052,558.230045
margin,top30,13,20,58,0.953157,78.11,4.598030,29.334136,1423.338606,558.324082
margin,top30,13,20,59,0.940016,78.07,4.605049,29.298200,1423.718516,558.007756
margin,top30,13,20,60,0.923826,77.98,4.597999,29.332087,1423.187115,558.289504
margin,top70,3,5,1,4.121054,46.78,4.704332,32.765287,1261.684594,617.219775
margin,top70,3,5,2,3.085511,51.64,4.693560,31.167233,1307.372218,585.405154
margin,top70,3,5,3,2.915442,53.24,4.675206,31.551740,1319.496669,583.517612
margin,top70,3,5,4,2.447993,55.53,4.683846,31.264078,1329.767184,579.059729
margin,top70,3,5,5,2.015344,60.08,4.708394,30.855673,1340.953239,575.496711
margin,top70,3,5,6,1.666157,65.69,4.766038,30.716123,1347.365197,573.638264
margin,top70,3,5,7,1.510078,66.85,4.747666,30.412526,1357.178937,572.317515
margin,top70,3,5,8,1.198349,69.33,4.707358,30.268925,1362.007117,570.397851
margin,top70,3,5,9,0.999620,70.31,4.713407,30.012075,1365.577319,567.833878
margin,top70,3,5,10,0.932410,70.33,4.707319,29.896282,1373.446062,566.111529
margin,top70,3,5,11,0.782984,70.81,4.753550,30.111512,1377.835000,564.378274
margin,top70,3,5,12,0.694668,73.91,4.752819,30.097845,1386.730404,565.022479
margin,top70,3,5,13,0.611132,73.62,4.805206,30.052922,1391.161342,563.319998
margin,top70,3,5,14,0.447386,75.31,4.776604,30.033167,1394.191139,558.511529
margin,top70,3,5,15,0.363149,74.91,4.791993,30.214703,1397.215558,556.379587
margin,top70,3,5,16,0.259665,75.56,4.759358,30.112945,1401.460371,556.160986
margin,top70,3,5,17,0.272031,75.65,4.738825,30.109267,1401.739751,555.201709
margin,top70,3,5,18,0.230899,75.27,4.758607,30.097403,1403.243083,555.086971
margin,top70,3,5,19,0.251620,75.33,4.752860,30.118902,1404.092273,554.894504
margin,top70,3,5,20,0.195281,75.95,4.758186,30.103180,1406.510206,554.047212
margin,top70,3,5,21,0.207173,75.82,4.781424,30.116360,1407.758896,553.374429
margin,top70,3,5,22,0.189232,75.84,4.769696,30.164053,1407.409126,555.266316
