fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,fitness,accuracy,mse
margin,top90,8,40,10,6.505859,61.31,20.625194
margin,top90,8,40,11,5.405292,63.92,19.952810
margin,top90,8,40,12,4.464679,67.09,20.003492
margin,top90,8,40,13,3.519697,69.85,20.842669
margin,top90,8,40,14,2.865288,71.17,20.767254
margin,top90,8,40,15,2.339519,72.29,20.781345
margin,top90,8,40,16,1.818076,74.00,20.028825
margin,top90,8,40,17,1.667106,74.16,20.555939
margin,top90,8,40,18,1.224740,75.65,20.369160
margin,top90,8,40,19,0.849621,75.57,20.448414
margin,top90,8,40,20,0.790795,76.02,20.889024
margin,top90,8,40,21,0.549216,76.60,20.538583
margin,top90,8,40,22,0.585731,77.49,20.603296
margin,top90,8,40,23,0.388096,76.85,20.382099
margin,top90,8,40,24,0.270466,76.46,20.341337
margin,top90,8,40,25,0.227787,77.06,20.562830
softmax,top10,1,5,1,1.551436,50.11,23.249211
softmax,top10,1,5,2,1.235189,50.97,22.508438
softmax,top10,2,10,1,3.070880,49.96,22.664127
softmax,top10,2,10,2,2.747275,49.83,21.884348
softmax,top10,2,10,3,2.257589,51.62,21.351626
softmax,top10,2,10,4,2.258908,51.81,21.132196
softmax,top10,2,10,5,2.027482,53.36,21.532624
